text,category
Congrats sa Pinagtongulan sa award na natanggap nila mula sa lungsod ngayong taon!,other
"SOS! Lampas tuhod na ang baha sa Dagatan, hindi na kaya ng mga matatanda!",disaster_flooding
Kelan ang distribution ng relief goods sa Lumbang? Hindi pa kami nakakatanggap.,other
"Grabe ang baha sa Marawoy, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"Grabe ang baha sa Plaridel, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"Update mula sa Inosluban: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
"Sira ang drainage sa Sabang, bumabaha palagi kahit maliit na ulan dahil sa blockage.",public_infrastructure
"May butas na malaki sa daan sa Banaybanay, nasira na ang ilang gulong ng mga sasakyan.",public_infrastructure
"Emergency! Baha sa Mataas na Lupa, hindi na kaya ng drainage, patuloy ang pagbaha!",disaster_flooding
"Traffic grabe sa Pinagtongulan road, dalawang oras na kaming hindi gumagalaw sa kalsada.",transportation_traffic
"Grabe ang trapik sa Dagatan ngayong umaga, may nagkachoke na sasakyan sa gitna.",transportation_traffic
"Nawawala ang aso ko sa Tambois, puti, malaki, may tuldok na itim sa tagiliran.",other
"Salamat sa mga nagbakuna dito sa Lumbang kahapon, maayos ang programa ng health center.",other
"May matanda na walang makasama dito sa Plaridel, naiipit sa baha, agahan ninyo!",disaster_flooding
"May stranded na truck sa Tambois, nakaharang sa kalsada, puro traffic na.",transportation_traffic
"Ang dilim ng kalsada sa Tambois ng gabi, delikado para sa mga naglalakad.",public_safety
"Mag-ingat sa Sabang road, may malalim na butas sa kalsada na bago pa lang nagbukas!",transportation_traffic
Kailan ang fiesta sa Inosluban? Gusto naming makilahok sa selebrasyon.,other
"Tulong! Lampas tao na ang baha dito sa Pinagtongulan, hindi na makawala ang mga tao!",disaster_flooding
Kailan ang fiesta sa Marawoy? Gusto naming makilahok sa selebrasyon.,other
"Sira ang footbridge sa Inosluban, mapanganib na tumawid ang mga bata at matatanda.",public_infrastructure
"Bagsak ang poste ng kuryente sa Dagatan, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"Sira ang drainage sa Dagatan, bumabaha palagi kahit maliit na ulan dahil sa blockage.",public_infrastructure
"Napakaraming sasakyan ang naghihintay sa Banaybanay, may isinasarang daan ngayon.",transportation_traffic
"Sira ang paaralan sa Dagatan, naputol ang koneksyon ng kuryente at tubig.",public_infrastructure
"Napakaganda ng panahon ngayon sa Plaridel, sana lagi ganito ang klima!",other
Kelan ang distribution ng relief goods sa Inosluban? Hindi pa kami nakakatanggap.,other
May bago bang bukas na kainan sa Tambois? Gustong gusto ko ang lutong Batangas.,other
"May stranded na truck sa Marawoy, nakaharang sa kalsada, puro traffic na.",transportation_traffic
"Napakaraming sasakyan ang naghihintay sa Pinagtongulan, may isinasarang daan ngayon.",transportation_traffic
"Stranded po kami dito sa Tambois, sira ang tulay, walang ibang daanan para sa sasakyan.",transportation_traffic
"Balita ko may bagong barangay health center sa Sabang, totoo ba ito?",other
"Hay nako, traffic ulit sa Dagatan dahil sa construction na walang babala sa mga driver.",transportation_traffic
Rescue po sa Dagatan! Pati mga hayop namin nalunod na sa mataas na tubig!,disaster_flooding
Sunog sa Plaridel! Kumakalat na ang apoy! Tumawag na ng bumbero at police!,public_safety
"Sira ang kalsada sa Plaridel, puno ng butas, mapanganib sa motor at kotse.",transportation_traffic
"May mabangis na aso sa Marawoy na nakakagat ng mga bata, pakiaksyon ng barangay.",public_safety
Kelan ang distribution ng relief goods sa Pinagtongulan? Hindi pa kami nakakatanggap.,other
"Ang dilim ng kalsada sa Dagatan ng gabi, delikado para sa mga naglalakad.",public_safety
"Hay nako, traffic ulit sa Lumbang dahil sa construction na walang babala sa mga driver.",transportation_traffic
"Ang tubig sa Marawoy ay patuloy pang tumataas, kailangan na ng evacuation!",disaster_flooding
"Balita ko may bagong barangay health center sa Plaridel, totoo ba ito?",other
"Nawawala ang aso ko sa Lumbang, puti, malaki, may tuldok na itim sa tagiliran.",other
May sunog sa Sabang! Tumawag na ng bumbero! Tatlong bahay na ang apektado!,public_safety
May abandoned na sasakyan na nakaka-suspecha sa Plaridel ng ilang araw na.,public_safety
Kailan ang fiesta sa Pinagtongulan? Gusto naming makilahok sa selebrasyon.,other
Sunog sa Tambois! Kumakalat na ang apoy! Tumawag na ng bumbero at police!,public_safety
"Nagsisigawan ang mga tao sa Plaridel, pakicheck ng barangay tanod o police ngayon!",public_safety
"Nagsisigawan ang mga tao sa Inosluban, pakicheck ng barangay tanod o police ngayon!",public_safety
"Sira ang paaralan sa Tambois, naputol ang koneksyon ng kuryente at tubig.",public_infrastructure
"Sobrang traffic sa Mataas na Lupa dahil sa nabagsak na puno sa kalsada, walang makadaan!",transportation_traffic
"Bagsak ang poste ng kuryente sa Tambois, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"Ang street light sa Pinagtongulan ay patay na ng matagal, delikado maglakad ng gabi doon.",public_infrastructure
"Walang pumapasok na pampublikong sasakyan sa Inosluban, stranded ang mga pasahero.",transportation_traffic
Hindi makadaan ang mga jeepney at bus sa Pinagtongulan dahil sa blockage sa daan.,transportation_traffic
"Hindi na makalabas ng bahay ang mga kapitbahay sa Pinagtongulan, naiipit sa baha!",disaster_flooding
"Tanong lang po, may libreng seminar ba para sa mga magsasaka sa Tambois ngayong buwan?",other
May sunog sa Marawoy! Tumawag na ng bumbero! Tatlong bahay na ang apektado!,public_safety
Hindi na mapasok ng mga delivery truck ang Banaybanay dahil sa sirang aspalto at butas.,transportation_traffic
"Nabuwal ang malaking puno sa kalsada ng Pinagtongulan dahil sa bagyo, naharang ang trapiko.",transportation_traffic
"SOS! Lampas tuhod na ang baha sa Pinagtongulan, hindi na kaya ng mga matatanda!",disaster_flooding
"Tanong lang po, may libreng seminar ba para sa mga magsasaka sa Dagatan ngayong buwan?",other
"May nakawan na nangyayari dito sa Banaybanay, nasaan ang barangay tanod at police?",public_safety
"Masayang-masaya ang programa ng Mataas na Lupa kanina sa plaza, maraming dumalo!",other
"Ang street light sa Pinagtongulan ay patay na ng matagal, delikado maglakad ng gabi doon.",public_infrastructure
Tumutulo ang tubig mula sa sirang tubo ng NAWASA sa kalsada ng Banaybanay.,public_infrastructure
"Ang canal sa Marawoy ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
Kailan ang susunod na barangay assembly sa Banaybanay? May gusto akong itanong sa captain.,other
"Biglang naging madilim ang Tambois kanina, may nasunog na transformer ng Meralco.",public_infrastructure
"Nabuwal ang malaking puno sa kalsada ng Sabang dahil sa bagyo, naharang ang trapiko.",transportation_traffic
Security issue sa Plaridel: may mga naka-motor na naglilibot parang nagre-recon ng area.,public_safety
"Saklolo po! Hanggang dibdib na ang tubig baha sa Inosluban, may mga bata at matatanda kami!",disaster_flooding
"Ang canal sa Plaridel ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
"May nang-iistorbo at nagbabanta sa mga residente ng Banaybanay, pakicheck ng pulis.",public_safety
"May stranded na truck sa Sabang, nakaharang sa kalsada, puro traffic na.",transportation_traffic
"Nagsisigawan ang mga tao sa Lumbang, pakicheck ng barangay tanod o police ngayon!",public_safety
Takot maglakad sa gabi sa Inosluban dahil walang ilaw at maraming suspicious na tao.,public_safety
"Stranded po kami dito sa Sabang, sira ang tulay, walang ibang daanan para sa sasakyan.",transportation_traffic
"Pakipatrolan ang Sabang ngayong gabi, may sinasabing magnanakaw na lumalagala doon.",public_safety
"May stranded na truck sa Pinagtongulan, nakaharang sa kalsada, puro traffic na.",transportation_traffic
Security issue sa Inosluban: may mga naka-motor na naglilibot parang nagre-recon ng area.,public_safety
"May nang-iistorbo at nagbabanta sa mga residente ng Marawoy, pakicheck ng pulis.",public_safety
"May aksidente sa intersection sa Lumbang, naka-block ang isang lane ng kalsada.",transportation_traffic
"Walang tubig na dumadating sa Mataas na Lupa simula kagabi, may naputol na linya ng NAWASA.",public_infrastructure
"Gumuho ang bahagi ng kalsada sa Tambois malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
"Sira ang footbridge sa Marawoy, mapanganib na tumawid ang mga bata at matatanda.",public_infrastructure
"May mabangis na aso sa Banaybanay na nakakagat ng mga bata, pakiaksyon ng barangay.",public_safety
"Ang dilim ng kalsada sa Sabang ng gabi, delikado para sa mga naglalakad.",public_safety
"Sira ang pangunahing linya ng tubig sa Pinagtongulan, wala kaming tubig simula kahapon.",public_infrastructure
"Update mula sa Pinagtongulan: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
"Nagsisigawan ang mga tao sa Tambois, pakicheck ng barangay tanod o police ngayon!",public_safety
"Napakaganda ng panahon ngayon sa Lumbang, sana lagi ganito ang klima!",other
"Maganda ang bagong park sa Inosluban, salamat sa LGU sa proyektong ito!",other
"Balita ko may bagong barangay health center sa Plaridel, totoo ba ito?",other
"Mag-ingat sa Dagatan road, may malalim na butas sa kalsada na bago pa lang nagbukas!",transportation_traffic
"Napakaraming sasakyan ang naghihintay sa Lumbang, may isinasarang daan ngayon.",transportation_traffic
"Sira ang kalsada sa Pinagtongulan, puno ng butas, mapanganib sa motor at kotse.",transportation_traffic
"Ang tubig sa Mataas na Lupa ay patuloy pang tumataas, kailangan na ng evacuation!",disaster_flooding
"Napakaraming sasakyan ang naghihintay sa Dagatan, may isinasarang daan ngayon.",transportation_traffic
"Emergency! Baha sa Tambois, hindi na kaya ng drainage, patuloy ang pagbaha!",disaster_flooding
"SOS! Lampas tuhod na ang baha sa Pinagtongulan, hindi na kaya ng mga matatanda!",disaster_flooding
Nagtatanong lang tungkol sa schedule ng koleksyon ng basura sa Sabang ngayong linggo.,other
"Meeting po ang mga officials bukas sa Tambois, pakibroadcast sa mga residente.",other
"Sira ang pangunahing linya ng tubig sa Pinagtongulan, wala kaming tubig simula kahapon.",public_infrastructure
"May butas na malaki sa daan sa Banaybanay, nasira na ang ilang gulong ng mga sasakyan.",public_infrastructure
Nagtatanong lang tungkol sa schedule ng koleksyon ng basura sa Plaridel ngayong linggo.,other
Hindi na mapasok ng mga delivery truck ang Pinagtongulan dahil sa sirang aspalto at butas.,transportation_traffic
"Walang pumapasok na pampublikong sasakyan sa Marawoy, stranded ang mga pasahero.",transportation_traffic
"May nakawan na nangyayari dito sa Marawoy, nasaan ang barangay tanod at police?",public_safety
Congrats sa Mataas na Lupa sa award na natanggap nila mula sa lungsod ngayong taon!,other
Hindi na mapasok ng mga delivery truck ang Tambois dahil sa sirang aspalto at butas.,transportation_traffic
"Gumuho ang bahagi ng kalsada sa Mataas na Lupa malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
"Grabe ang baha sa Sabang, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"May nagaaway na grupo sa kanto ng Mataas na Lupa, baka may masamang mangyari agad!",public_safety
"Bagsak ang poste ng kuryente sa Inosluban, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"Maganda ang bagong park sa Banaybanay, salamat sa LGU sa proyektong ito!",other
"Hindi na makalabas ng bahay ang mga kapitbahay sa Lumbang, naiipit sa baha!",disaster_flooding
"Masayang-masaya ang programa ng Plaridel kanina sa plaza, maraming dumalo!",other
"Saklolo po! Hanggang dibdib na ang tubig baha sa Inosluban, may mga bata at matatanda kami!",disaster_flooding
Takot maglakad sa gabi sa Lumbang dahil walang ilaw at maraming suspicious na tao.,public_safety
"Salamat sa mga volunteer na naglinis ng Sabang kahapon, maganda na ang tingin ngayon.",other
"Gumuho ang bahagi ng kalsada sa Sabang malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
"May matanda na walang makasama dito sa Banaybanay, naiipit sa baha, agahan ninyo!",disaster_flooding
Sunog sa Lumbang! Kumakalat na ang apoy! Tumawag na ng bumbero at police!,public_safety
"Salamat sa mga volunteer na naglinis ng Banaybanay kahapon, maganda na ang tingin ngayon.",other
"Grabe ang trapik sa Inosluban ngayong umaga, may nagkachoke na sasakyan sa gitna.",transportation_traffic
"Emergency! Baha sa Plaridel, hindi na kaya ng drainage, patuloy ang pagbaha!",disaster_flooding
"May nagaaway na grupo sa kanto ng Tambois, baka may masamang mangyari agad!",public_safety
"Sira ang pangunahing linya ng tubig sa Tambois, wala kaming tubig simula kahapon.",public_infrastructure
"Bagsak ang poste ng kuryente sa Tambois, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"Ang canal sa Lumbang ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
"Stranded kami sa Mataas na Lupa dahil sa mataas na tubig baha, walang makaalis!",disaster_flooding
"Sira ang footbridge sa Tambois, mapanganib na tumawid ang mga bata at matatanda.",public_infrastructure
Security issue sa Mataas na Lupa: may mga naka-motor na naglilibot parang nagre-recon ng area.,public_safety
"Pati ang evacuation center sa Mataas na Lupa ay may tubig na, saan pa kami lilipat?",disaster_flooding
"Baha na naman sa Tambois, hindi na maubos-ubos. Lampas na sa kalye ang tubig.",disaster_flooding
"Napakaganda ng panahon ngayon sa Sabang, sana lagi ganito ang klima!",other
"May stranded na truck sa Plaridel, nakaharang sa kalsada, puro traffic na.",transportation_traffic
"Stranded po kami dito sa Banaybanay, sira ang tulay, walang ibang daanan para sa sasakyan.",transportation_traffic
"Ang canal sa Mataas na Lupa ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
Rescue po sa Mataas na Lupa! Pati mga hayop namin nalunod na sa mataas na tubig!,disaster_flooding
Congrats sa Marawoy sa award na natanggap nila mula sa lungsod ngayong taon!,other
"May nagaaway na grupo sa kanto ng Sabang, baka may masamang mangyari agad!",public_safety
"Maganda ang bagong park sa Dagatan, salamat sa LGU sa proyektong ito!",other
"Update mula sa Mataas na Lupa: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
Nagtatanong lang tungkol sa schedule ng koleksyon ng basura sa Marawoy ngayong linggo.,other
"Update mula sa Lumbang: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
"Nagsisigawan ang mga tao sa Dagatan, pakicheck ng barangay tanod o police ngayon!",public_safety
"Grabe ang baha sa Inosluban, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"Nawalan ng ilaw ang kalahati ng Mataas na Lupa dahil sa sirang transformer, kelan aayusin?",public_infrastructure
"May matanda na walang makasama dito sa Inosluban, naiipit sa baha, agahan ninyo!",disaster_flooding
"Ang canal sa Lumbang ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
"Sira ang pangunahing linya ng tubig sa Dagatan, wala kaming tubig simula kahapon.",public_infrastructure
"May bata at buntis dito sa Dagatan na kailangan ng tulong, patuloy tumataas ang tubig!",disaster_flooding
"May nagaaway na grupo sa kanto ng Inosluban, baka may masamang mangyari agad!",public_safety
Rescue po sa Marawoy! Pati mga hayop namin nalunod na sa mataas na tubig!,disaster_flooding
Nagtatanong lang tungkol sa schedule ng koleksyon ng basura sa Pinagtongulan ngayong linggo.,other
"Baha na naman sa Lumbang, hindi na maubos-ubos. Lampas na sa kalye ang tubig.",disaster_flooding
"Meeting po ang mga officials bukas sa Banaybanay, pakibroadcast sa mga residente.",other
"Tanong lang po, may libreng seminar ba para sa mga magsasaka sa Banaybanay ngayong buwan?",other
May sunog sa Tambois! Tumawag na ng bumbero! Tatlong bahay na ang apektado!,public_safety
"May holdap na naganap kanina ng gabi sa Dagatan, mag-ingat tayong lahat!",public_safety
"Sira ang kalsada sa Banaybanay, puno ng butas, mapanganib sa motor at kotse.",transportation_traffic
"May aksidente sa intersection sa Tambois, naka-block ang isang lane ng kalsada.",transportation_traffic
Takot maglakad sa gabi sa Inosluban dahil walang ilaw at maraming suspicious na tao.,public_safety
"May bata at buntis dito sa Mataas na Lupa na kailangan ng tulong, patuloy tumataas ang tubig!",disaster_flooding
"Nagsisigawan ang mga tao sa Inosluban, pakicheck ng barangay tanod o police ngayon!",public_safety
"Napakaganda ng panahon ngayon sa Plaridel, sana lagi ganito ang klima!",other
"Masayang-masaya ang programa ng Dagatan kanina sa plaza, maraming dumalo!",other
"Stranded kami sa Tambois dahil sa mataas na tubig baha, walang makaalis!",disaster_flooding
"Emergency! Baha sa Mataas na Lupa, hindi na kaya ng drainage, patuloy ang pagbaha!",disaster_flooding
Takot maglakad sa gabi sa Pinagtongulan dahil walang ilaw at maraming suspicious na tao.,public_safety
"Emergency! Baha sa Pinagtongulan, hindi na kaya ng drainage, patuloy ang pagbaha!",disaster_flooding
"Traffic grabe sa Inosluban road, dalawang oras na kaming hindi gumagalaw sa kalsada.",transportation_traffic
Kailan ang susunod na barangay assembly sa Lumbang? May gusto akong itanong sa captain.,other
"Walang tubig na dumadating sa Sabang simula kagabi, may naputol na linya ng NAWASA.",public_infrastructure
Tumutulo ang tubig mula sa sirang tubo ng NAWASA sa kalsada ng Dagatan.,public_infrastructure
"Maganda ang bagong park sa Tambois, salamat sa LGU sa proyektong ito!",other
Security issue sa Lumbang: may mga naka-motor na naglilibot parang nagre-recon ng area.,public_safety
"Sira na talaga ang aspalto sa Pinagtongulan Road, mapanganib na sa mga motorista.",transportation_traffic
"Mag-ingat sa Lumbang road, may malalim na butas sa kalsada na bago pa lang nagbukas!",transportation_traffic
Kailan ang fiesta sa Marawoy? Gusto naming makilahok sa selebrasyon.,other
"Salamat sa mga volunteer na naglinis ng Pinagtongulan kahapon, maganda na ang tingin ngayon.",other
Hindi makadaan ang mga jeepney at bus sa Plaridel dahil sa blockage sa daan.,transportation_traffic
"Gumuho ang bahagi ng kalsada sa Inosluban malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
"Update mula sa Lumbang: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
"May nagaaway na grupo sa kanto ng Pinagtongulan, baka may masamang mangyari agad!",public_safety
"May matanda na walang makasama dito sa Marawoy, naiipit sa baha, agahan ninyo!",disaster_flooding
"May aksidente sa motor sa Plaridel, duguan ang driver at pasahero, kailangan ng ambulansya!",public_safety
"Grabe ang trapik sa Marawoy ngayong umaga, may nagkachoke na sasakyan sa gitna.",transportation_traffic
"Hindi na makalabas ng bahay ang mga kapitbahay sa Tambois, naiipit sa baha!",disaster_flooding
Hindi na mapasok ng mga delivery truck ang Plaridel dahil sa sirang aspalto at butas.,transportation_traffic
"Sira ang footbridge sa Marawoy, mapanganib na tumawid ang mga bata at matatanda.",public_infrastructure
"Nawawala ang aso ko sa Plaridel, puti, malaki, may tuldok na itim sa tagiliran.",other
"Napakaganda ng panahon ngayon sa Dagatan, sana lagi ganito ang klima!",other
"May holdap na naganap kanina ng gabi sa Banaybanay, mag-ingat tayong lahat!",public_safety
"SOS! Lampas tuhod na ang baha sa Pinagtongulan, hindi na kaya ng mga matatanda!",disaster_flooding
Kailan ang susunod na barangay assembly sa Pinagtongulan? May gusto akong itanong sa captain.,other
"May holdap na naganap kanina ng gabi sa Sabang, mag-ingat tayong lahat!",public_safety
"Sira na talaga ang aspalto sa Dagatan Road, mapanganib na sa mga motorista.",transportation_traffic
"Aksidente sa Tambois, nasangkot ang isang bata, kailangan ng emergency response agad!",public_safety
"Masayang-masaya ang programa ng Lumbang kanina sa plaza, maraming dumalo!",other
Kailan ang fiesta sa Mataas na Lupa? Gusto naming makilahok sa selebrasyon.,other
"May stranded na truck sa Inosluban, nakaharang sa kalsada, puro traffic na.",transportation_traffic
"Sira ang paaralan sa Tambois, naputol ang koneksyon ng kuryente at tubig.",public_infrastructure
"May holdap na naganap kanina ng gabi sa Dagatan, mag-ingat tayong lahat!",public_safety
Tumutulo ang tubig mula sa sirang tubo ng NAWASA sa kalsada ng Pinagtongulan.,public_infrastructure
"Nabuwal ang electric post sa Tambois road, wire nakasabit pa, delikado para sa lahat.",public_infrastructure
"Update mula sa Lumbang: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
"Napakaganda ng panahon ngayon sa Marawoy, sana lagi ganito ang klima!",other
"Salamat sa mga volunteer na naglinis ng Pinagtongulan kahapon, maganda na ang tingin ngayon.",other
"Bagsak ang poste ng kuryente sa Mataas na Lupa, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"May stranded na truck sa Tambois, nakaharang sa kalsada, puro traffic na.",transportation_traffic
Tumutulo ang tubig mula sa sirang tubo ng NAWASA sa kalsada ng Pinagtongulan.,public_infrastructure
Rescue po sa Lumbang! Pati mga hayop namin nalunod na sa mataas na tubig!,disaster_flooding
"Gumuho ang bahagi ng kalsada sa Banaybanay malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
Hindi na mapasok ng mga delivery truck ang Banaybanay dahil sa sirang aspalto at butas.,transportation_traffic
"Sira ang pangunahing linya ng tubig sa Lumbang, wala kaming tubig simula kahapon.",public_infrastructure
"May matanda na walang makasama dito sa Mataas na Lupa, naiipit sa baha, agahan ninyo!",disaster_flooding
"May holdap na naganap kanina ng gabi sa Inosluban, mag-ingat tayong lahat!",public_safety
"Napakaraming sasakyan ang naghihintay sa Lumbang, may isinasarang daan ngayon.",transportation_traffic
"May nang-iistorbo at nagbabanta sa mga residente ng Plaridel, pakicheck ng pulis.",public_safety
"SOS! Lampas tuhod na ang baha sa Plaridel, hindi na kaya ng mga matatanda!",disaster_flooding
"May aksidente sa intersection sa Tambois, naka-block ang isang lane ng kalsada.",transportation_traffic
"Napakaraming sasakyan ang naghihintay sa Banaybanay, may isinasarang daan ngayon.",transportation_traffic
"Ang canal sa Plaridel ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
"Walang tubig na dumadating sa Lumbang simula kagabi, may naputol na linya ng NAWASA.",public_infrastructure
"Nabuwal ang electric post sa Dagatan road, wire nakasabit pa, delikado para sa lahat.",public_infrastructure
"Sobrang traffic sa Tambois dahil sa nabagsak na puno sa kalsada, walang makadaan!",transportation_traffic
"Bagsak ang poste ng kuryente sa Dagatan, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"May nang-iistorbo at nagbabanta sa mga residente ng Lumbang, pakicheck ng pulis.",public_safety
"Masayang-masaya ang programa ng Sabang kanina sa plaza, maraming dumalo!",other
"Bagsak ang poste ng kuryente sa Plaridel, nakasabit pa ang wire sa kalsada, mapanganib!",public_infrastructure
"Napakaraming sasakyan ang naghihintay sa Mataas na Lupa, may isinasarang daan ngayon.",transportation_traffic
"May aksidente sa motor sa Marawoy, duguan ang driver at pasahero, kailangan ng ambulansya!",public_safety
Hindi makadaan ang mga jeepney at bus sa Pinagtongulan dahil sa blockage sa daan.,transportation_traffic
"Sira ang kalsada sa Banaybanay, puno ng butas, mapanganib sa motor at kotse.",transportation_traffic
"May bata at buntis dito sa Mataas na Lupa na kailangan ng tulong, patuloy tumataas ang tubig!",disaster_flooding
"Grabe ang baha sa Dagatan, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"Ang canal sa Banaybanay ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
"Masayang-masaya ang programa ng Banaybanay kanina sa plaza, maraming dumalo!",other
"Sira ang paaralan sa Lumbang, naputol ang koneksyon ng kuryente at tubig.",public_infrastructure
"Sobrang traffic sa Inosluban dahil sa nabagsak na puno sa kalsada, walang makadaan!",transportation_traffic
